pair_id	level	p_same	p_narrowed	score	confidence	new_evidence	exact_line	jaccard
wf_25b7ecd7-e1a#a370160af115c5f83#findings#0 | wf_25b7ecd7-e1a#acc4f0cb05ffaabbe#findings#0	1	0.300	0.580	1.180	0.370	0.800	true	0.253
wf_25b7ecd7-e1a#acc4f0cb05ffaabbe#findings#1 | wf_25b7ecd7-e1a#a7e5c015462665642#findings#0	1	0.310	0.620	1.240	0.440	0.860	true	0.216
wf_25b7ecd7-e1a#acc4f0cb05ffaabbe#findings#2 | wf_25b7ecd7-e1a#a1f52a820c1c7e6e1#findings#0	0	0.010	0.070	0.100	0.860	0.880	true	0.146
wf_b1cb3341-11b#a997d4ef830e78804#findings#1 | wf_b1cb3341-11b#ace24045ffa9b07d8#findings#0	1	0.400	0.590	1.400	0.390	0.970	true	0.288
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#0 | wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#0	2	0.870	0.120	1.850	0.780	0.890	true	0.290
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#0 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#0	2	0.660	0.310	1.620	0.430	0.940	true	0.205
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#1 | wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#3	0	0.050	0.420	0.530	0.210	0.180	true	0.181
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#1 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#2	1	0.110	0.470	0.690	0.210	0.940	true	0.147
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#0 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#0	2	0.770	0.210	1.750	0.630	0.850	true	0.431
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#3 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#2	1	0.240	0.600	1.080	0.400	0.960	true	0.479
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#4 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#1	2	0.830	0.160	1.830	0.740	0.750	true	0.306
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#2 | wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#5	2	1.000	0.000	2.000	0.990	0.290	true	0.139
wf_01332151-8dd#ab5bcf629ce650f3c#findings#0 | wf_01332151-8dd#a5292545d4a68af1e#findings#1	0	0.030	0.100	0.160	0.760	0.970	true	0.203
wf_01332151-8dd#ab5bcf629ce650f3c#findings#0 | wf_01332151-8dd#a9331dec828cb9801#findings#0	2	0.850	0.150	1.850	0.780	0.960	true	0.378
wf_01332151-8dd#ab5bcf629ce650f3c#findings#0 | wf_01332151-8dd#ada8a2fac213c9682#findings#1	1	0.070	0.760	0.900	0.640	0.960	true	0.241
wf_01332151-8dd#a5292545d4a68af1e#findings#0 | wf_01332151-8dd#a9331dec828cb9801#findings#1	2	0.910	0.090	1.900	0.850	0.880	true	0.327
wf_01332151-8dd#a5292545d4a68af1e#findings#1 | wf_01332151-8dd#a9331dec828cb9801#findings#0	0	0.070	0.250	0.390	0.420	0.940	true	0.167
wf_01332151-8dd#a5292545d4a68af1e#findings#1 | wf_01332151-8dd#ada8a2fac213c9682#findings#1	0	0.100	0.320	0.520	0.210	0.950	true	0.208
wf_01332151-8dd#a9331dec828cb9801#findings#0 | wf_01332151-8dd#ada8a2fac213c9682#findings#1	1	0.070	0.680	0.810	0.520	0.940	true	0.238
wf_01332151-8dd#ab5bcf629ce650f3c#findings#2 | wf_01332151-8dd#a9331dec828cb9801#findings#2	2	0.600	0.370	1.570	0.360	0.930	true	0.329
wf_01332151-8dd#ab5bcf629ce650f3c#findings#2 | wf_01332151-8dd#ada8a2fac213c9682#findings#2	2	0.590	0.390	1.570	0.350	0.840	true	0.318
wf_01332151-8dd#a9331dec828cb9801#findings#2 | wf_01332151-8dd#ada8a2fac213c9682#findings#2	1	0.330	0.630	1.290	0.450	0.870	true	0.291
wf_5769d01d-035#ac4bfc4b981232c62#findings#0 | wf_5769d01d-035#a1c4f1c8705fefd64#findings#0	2	0.720	0.250	1.690	0.530	0.960	true	0.336
wf_5769d01d-035#ac4bfc4b981232c62#findings#1 | wf_5769d01d-035#ab8454c3222ddbfc5#findings#0	0	0.060	0.440	0.560	0.160	0.970	true	0.284
wf_5769d01d-035#ac4bfc4b981232c62#findings#1 | wf_5769d01d-035#a1c4f1c8705fefd64#findings#1	0	0.090	0.440	0.620	0.080	0.960	true	0.252
wf_5769d01d-035#ab8454c3222ddbfc5#findings#0 | wf_5769d01d-035#a1c4f1c8705fefd64#findings#1	1	0.250	0.710	1.210	0.570	0.920	true	0.250
wf_5769d01d-035#a03369b15432a62e2#findings#1 | wf_5769d01d-035#a91761edbf942fbd7#findings#1	2	0.660	0.320	1.650	0.470	0.950	true	0.274
wf_5769d01d-035#a03369b15432a62e2#findings#1 | wf_5769d01d-035#a1c4f1c8705fefd64#findings#4	2	0.620	0.360	1.600	0.410	0.950	true	0.209
wf_5769d01d-035#a91761edbf942fbd7#findings#1 | wf_5769d01d-035#a1c4f1c8705fefd64#findings#4	2	0.790	0.170	1.760	0.640	0.960	true	0.256
wf_76c8d6d2-86c#a36c1747d75e363c4#findings#0 | wf_76c8d6d2-86c#a5a3ddd5cb0a8efa5#findings#1	1	0.060	0.600	0.720	0.400	0.970	true	0.331
wf_76c8d6d2-86c#a36c1747d75e363c4#findings#0 | wf_76c8d6d2-86c#abd6ba32b2e7c84c4#findings#1	2	0.720	0.270	1.710	0.570	0.390	true	0.408
wf_76c8d6d2-86c#a5a3ddd5cb0a8efa5#findings#1 | wf_76c8d6d2-86c#abd6ba32b2e7c84c4#findings#1	1	0.100	0.820	1.020	0.740	0.340	true	0.268
wf_76c8d6d2-86c#abd6ba32b2e7c84c4#findings#0 | wf_76c8d6d2-86c#a92f7f0ba87a63b0b#findings#2	2	0.730	0.270	1.730	0.590	0.340	true	0.434
wf_77650a4c-eec#a313b2161956eaba6#findings#0 | wf_77650a4c-eec#aeb6fcf137bd4291a#findings#0	1	0.340	0.640	1.320	0.460	0.540	true	0.283
wf_77650a4c-eec#a313b2161956eaba6#findings#0 | wf_77650a4c-eec#a4e287a1b2b197430#findings#0	2	0.790	0.210	1.780	0.680	0.800	true	0.304
wf_77650a4c-eec#a313b2161956eaba6#findings#0 | wf_77650a4c-eec#a4232bf8e8f11daa2#findings#0	2	0.900	0.100	1.890	0.830	0.900	true	0.360
wf_77650a4c-eec#aeb6fcf137bd4291a#findings#0 | wf_77650a4c-eec#a4e287a1b2b197430#findings#0	2	0.940	0.060	1.940	0.910	0.820	true	0.333
wf_77650a4c-eec#aeb6fcf137bd4291a#findings#0 | wf_77650a4c-eec#a4232bf8e8f11daa2#findings#0	1	0.200	0.630	1.030	0.440	0.940	true	0.281
wf_77650a4c-eec#a4e287a1b2b197430#findings#0 | wf_77650a4c-eec#a4232bf8e8f11daa2#findings#0	1	0.140	0.560	0.850	0.340	0.940	true	0.347
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a3efb6ffccb75787b#findings#0	1	0.310	0.580	1.200	0.370	0.880	true	0.258
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a101acdbb64eb4236#findings#0	2	0.560	0.380	1.500	0.250	0.810	true	0.298
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a676e2a7da0603a63#findings#0	1	0.330	0.550	1.210	0.330	0.830	true	0.258
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#0	1	0.230	0.530	0.980	0.300	0.810	true	0.232
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#0	1	0.340	0.460	1.140	0.180	0.710	true	0.315
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#1 | wf_82d378e6-c04#a101acdbb64eb4236#findings#2	0	0.000	0.010	0.010	0.980	0.930	true	0.176
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#2 | wf_82d378e6-c04#a101acdbb64eb4236#findings#3	2	0.510	0.480	1.510	0.270	0.760	true	0.320
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#2 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#1	1	0.410	0.570	1.380	0.350	0.610	true	0.339
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#3 | wf_82d378e6-c04#a3efb6ffccb75787b#findings#3	2	0.810	0.190	1.810	0.710	0.780	true	0.362
wf_82d378e6-c04#a3efb6ffccb75787b#findings#0 | wf_82d378e6-c04#a101acdbb64eb4236#findings#0	1	0.470	0.510	1.450	0.260	0.810	true	0.277
wf_82d378e6-c04#a3efb6ffccb75787b#findings#0 | wf_82d378e6-c04#a676e2a7da0603a63#findings#0	1	0.290	0.640	1.220	0.470	0.830	true	0.291
wf_82d378e6-c04#a3efb6ffccb75787b#findings#0 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#0	1	0.330	0.610	1.280	0.420	0.840	true	0.244
wf_82d378e6-c04#a3efb6ffccb75787b#findings#0 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#0	2	0.530	0.420	1.490	0.230	0.840	true	0.294
wf_82d378e6-c04#a101acdbb64eb4236#findings#0 | wf_82d378e6-c04#a676e2a7da0603a63#findings#0	1	0.410	0.580	1.400	0.360	0.570	true	0.369
wf_82d378e6-c04#a101acdbb64eb4236#findings#0 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#0	1	0.370	0.510	1.250	0.260	0.640	true	0.321
wf_82d378e6-c04#a101acdbb64eb4236#findings#0 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#0	1	0.420	0.560	1.400	0.340	0.560	true	0.340
wf_82d378e6-c04#a101acdbb64eb4236#findings#3 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#1	1	0.200	0.760	1.160	0.640	0.820	true	0.293
wf_82d378e6-c04#a676e2a7da0603a63#findings#0 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#0	1	0.460	0.520	1.450	0.280	0.790	true	0.385
wf_82d378e6-c04#a676e2a7da0603a63#findings#0 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#0	1	0.470	0.500	1.440	0.250	0.760	true	0.297
