pair_id	level	p_same	p_narrowed	score	confidence	new_evidence	exact_line	jaccard
wf_25b7ecd7-e1a#a370160af115c5f83#findings#0 | wf_25b7ecd7-e1a#acc4f0cb05ffaabbe#findings#0	1	0.290	0.550	1.130	0.320	0.800	true	0.253
wf_25b7ecd7-e1a#acc4f0cb05ffaabbe#findings#1 | wf_25b7ecd7-e1a#a7e5c015462665642#findings#0	1	0.340	0.560	1.250	0.340	0.840	true	0.216
wf_25b7ecd7-e1a#acc4f0cb05ffaabbe#findings#2 | wf_25b7ecd7-e1a#a1f52a820c1c7e6e1#findings#0	0	0.010	0.060	0.080	0.870	0.910	true	0.146
wf_b1cb3341-11b#a997d4ef830e78804#findings#1 | wf_b1cb3341-11b#ace24045ffa9b07d8#findings#0	1	0.260	0.730	1.250	0.580	0.970	true	0.288
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#0 | wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#0	2	0.810	0.170	1.800	0.700	0.900	true	0.290
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#0 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#0	2	0.590	0.360	1.540	0.310	0.950	true	0.205
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#1 | wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#3	0	0.050	0.400	0.500	0.250	0.170	true	0.181
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#1 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#2	1	0.150	0.560	0.860	0.330	0.940	true	0.147
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#0 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#0	2	0.640	0.310	1.580	0.370	0.860	true	0.431
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#3 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#2	1	0.260	0.560	1.080	0.350	0.960	true	0.479
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#4 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#1	2	0.830	0.160	1.820	0.730	0.700	true	0.306
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#2 | wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#5	2	1.000	0.000	2.000	0.990	0.280	true	0.139
wf_01332151-8dd#ab5bcf629ce650f3c#findings#0 | wf_01332151-8dd#a5292545d4a68af1e#findings#1	0	0.020	0.100	0.150	0.780	0.970	true	0.203
wf_01332151-8dd#ab5bcf629ce650f3c#findings#0 | wf_01332151-8dd#a9331dec828cb9801#findings#0	2	0.860	0.140	1.860	0.790	0.960	true	0.378
wf_01332151-8dd#ab5bcf629ce650f3c#findings#0 | wf_01332151-8dd#ada8a2fac213c9682#findings#1	1	0.080	0.680	0.840	0.520	0.960	true	0.241
wf_01332151-8dd#a5292545d4a68af1e#findings#0 | wf_01332151-8dd#a9331dec828cb9801#findings#1	2	0.900	0.090	1.890	0.840	0.900	true	0.327
wf_01332151-8dd#a5292545d4a68af1e#findings#1 | wf_01332151-8dd#a9331dec828cb9801#findings#0	0	0.100	0.280	0.480	0.280	0.930	true	0.167
wf_01332151-8dd#a5292545d4a68af1e#findings#1 | wf_01332151-8dd#ada8a2fac213c9682#findings#1	0	0.100	0.320	0.510	0.230	0.940	true	0.208
wf_01332151-8dd#a9331dec828cb9801#findings#0 | wf_01332151-8dd#ada8a2fac213c9682#findings#1	1	0.070	0.610	0.750	0.420	0.950	true	0.238
wf_01332151-8dd#ab5bcf629ce650f3c#findings#2 | wf_01332151-8dd#a9331dec828cb9801#findings#2	2	0.510	0.430	1.460	0.180	0.940	true	0.329
wf_01332151-8dd#ab5bcf629ce650f3c#findings#2 | wf_01332151-8dd#ada8a2fac213c9682#findings#2	2	0.580	0.390	1.560	0.330	0.860	true	0.318
wf_01332151-8dd#a9331dec828cb9801#findings#2 | wf_01332151-8dd#ada8a2fac213c9682#findings#2	1	0.390	0.550	1.320	0.320	0.890	true	0.291
wf_5769d01d-035#ac4bfc4b981232c62#findings#0 | wf_5769d01d-035#a1c4f1c8705fefd64#findings#0	2	0.700	0.270	1.660	0.500	0.960	true	0.336
