row_id	arm	choice	p_consistent	p_contradicted	p_not_checkable	confidence	baseline
glam-sdk-java#sdk/src/main/java/systems/glam/sdk/GlamAccountClientImpl.java#GlamAccountClientImpl.adaptPermissions(GlamAccounts, PublicKey, int, long)	real	consistent	0.920	0.020	0.060	0.880	1.000
glam-sdk-java#sdk/src/main/java/systems/glam/sdk/idl/programs/glam/jupiter/GlamJupiterProgramClient.java#GlamJupiterProgramClient.fixCPICallerRights(List<AccountMeta>)	real	consistent	0.870	0.040	0.090	0.800	1.000
glam-sdk-java#sdk/src/main/java/systems/glam/sdk/lut/VaultTableBuilder.java#VaultTableBuilder.fetchAccountsNeeded(SolanaRpcClient)	real	not_checkable	0.080	0.010	0.910	0.860	0.333
glam-sdk-java#services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutor.java#BatchSqlExecutor.create(Class<T>, DataSource, String, int, StatementPreparer<T>, Duration, Backoff, LoopHeartbeat)	real	not_checkable	0.020	0.000	0.980	0.970	1.000
glam-sdk-java#services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutorImpl.java#BatchSqlExecutorImpl.IDLE_TICK_FLOOR_NANOS	real	not_checkable	0.200	0.000	0.800	0.700	0.500
glam-sdk-java#services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutorImpl.java#BatchSqlExecutorImpl.run()	real	consistent	0.970	0.030	0.000	0.960	1.000
glam-sdk-java#services/src/main/java/systems/glam/services/io/FileUtils.java#FileUtils.MAX_ACCOUNT_DATA_LENGTH	real	consistent	0.790	0.020	0.190	0.680	1.000
glam-sdk-java#services/src/main/java/systems/glam/services/mints/StakePoolCache.java#StakePoolCache.initCache(ExecutorService, Path, StakePoolAccounts, MarinadeAccounts, Duration, RpcCaller, LoopHeartbeat)	real	not_checkable	0.040	0.140	0.820	0.730	0.500
glam-sdk-java#services/src/main/java/systems/glam/services/mints/StakePoolCacheImpl.java#StakePoolCacheImpl.run()	real	consistent	0.730	0.250	0.020	0.600	1.000
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcher.java#AccountFetcher.createFetcher(Duration, boolean, RpcCaller, Set<PublicKey>, LoopHeartbeat)	real	not_checkable	0.040	0.000	0.960	0.940	0.500
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.IDLE_TICK_FLOOR_NANOS	real	not_checkable	0.310	0.010	0.680	0.520	0.500
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.clearBatch()	real	not_checkable	0.270	0.020	0.710	0.560	0.500
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.clearBatch()	swapped	not_checkable	0.040	0.290	0.670	0.500	1.000
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.currentBatchSize()	real	not_checkable	0.020	0.060	0.920	0.880	1.000
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.currentBatchSize()	swapped	not_checkable	0.410	0.050	0.540	0.300	0.667
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.delay(Duration, long)	real	consistent	0.890	0.100	0.010	0.830	1.000
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.delay(Duration, long)	swapped	not_checkable	0.010	0.140	0.850	0.780	1.000
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.dispatch(AccountConsumer, List<AccountInfo<byte[]>>, Map<PublicKey, AccountInfo<byte[]>>)	real	consistent	0.890	0.010	0.100	0.840	1.000
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.dispatch(AccountConsumer, List<AccountInfo<byte[]>>, Map<PublicKey, AccountInfo<byte[]>>)	swapped	not_checkable	0.040	0.170	0.790	0.680	1.000
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.failCurrentBatches(RuntimeException)	real	consistent	0.930	0.050	0.020	0.900	0.333
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.failCurrentBatches(RuntimeException)	swapped	not_checkable	0.110	0.060	0.830	0.740	0.667
glam-sdk-java#services/src/main/java/systems/glam/services/state/GlobalConfigCache.java#GlobalConfigCache.initCache(Path, PublicKey, PublicKey, SolanaAccounts, MintCache, RpcCaller, AccountFetcher, Duration, LoopHeartbeat)	real	not_checkable	0.040	0.020	0.940	0.910	1.000
glam-sdk-java#services/src/main/java/systems/glam/services/state/GlobalConfigCacheImpl.java#GlobalConfigCacheImpl.run()	real	consistent	0.640	0.310	0.050	0.450	1.000
glam-sdk-java#services/src/main/java/systems/glam/services/state/MinGlamStateAccount.java#MinGlamStateAccount.checkCount(int, byte[], int)	real	consistent	0.450	0.190	0.360	0.190	1.000
http-servers#http-servers-core/src/main/java/software/sava/http_servers/core/handlers/HandlerUtil.java#HandlerUtil.parseRawParam(String, int, String)	real	consistent	0.980	0.020	0.000	0.960	0.500
http-servers#http-servers-jdk/src/main/java/software/sava/http_servers/jdk/JdkController.java#JdkController.answerWithoutBody(HttpExchange, int)	real	consistent	0.750	0.170	0.080	0.630	0.611
http-servers#http-servers-jetty/src/main/java/software/sava/http_servers/jetty/JettyServerBuilder.java#JettyServerBuilder.leasedThreads(QueuedThreadPool, ServerConnector)	real	consistent	0.560	0.150	0.290	0.340	0.667
http-servers#http-servers-jetty/src/main/java/software/sava/http_servers/jetty/JettyServerBuilder.java#JettyServerBuilder.leasedThreads(QueuedThreadPool, ServerConnector)	swapped	not_checkable	0.440	0.030	0.530	0.290	0.500
http-servers#http-servers-jetty/src/main/java/software/sava/http_servers/jetty/JettyServerBuilder.java#JettyServerBuilder.maxThreads(int, int)	real	consistent	0.730	0.230	0.040	0.600	0.000
http-servers#http-servers-jetty/src/main/java/software/sava/http_servers/jetty/JettyServerBuilder.java#JettyServerBuilder.maxThreads(int, int)	swapped	consistent	0.430	0.410	0.160	0.140	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyController.java#NettyController.clientLeft(Throwable)	real	consistent	0.910	0.070	0.020	0.870	0.909
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyController.java#NettyController.clientLeft(Throwable)	swapped	not_checkable	0.000	0.020	0.980	0.960	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyController.java#NettyController.invoke(ChannelHandlerContext, NettyRequest, NettyHandler)	real	not_checkable	0.010	0.060	0.930	0.890	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyController.java#NettyController.invoke(ChannelHandlerContext, NettyRequest, NettyHandler)	swapped	consistent	0.710	0.160	0.130	0.570	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequest.java#NettyRequest.malformed()	real	consistent	0.520	0.030	0.450	0.280	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.admit(ChannelHandlerContext, HttpRequest)	real	consistent	0.780	0.180	0.040	0.680	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.admit(ChannelHandlerContext, HttpRequest)	swapped	not_checkable	0.340	0.030	0.630	0.440	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.answer(ChannelHandlerContext, Refusal)	real	consistent	0.590	0.260	0.150	0.380	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.answer(ChannelHandlerContext, Refusal)	swapped	contradicted	0.350	0.390	0.260	0.080	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.begin(HttpRequest)	real	contradicted	0.050	0.940	0.010	0.900	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.begin(HttpRequest)	swapped	not_checkable	0.250	0.090	0.660	0.500	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.checkIdle(ChannelHandlerContext)	real	consistent	0.750	0.170	0.080	0.610	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.checkIdle(ChannelHandlerContext)	swapped	contradicted	0.010	0.590	0.400	0.380	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.paused()	real	consistent	0.660	0.060	0.280	0.490	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.paused()	swapped	not_checkable	0.010	0.050	0.940	0.910	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.refusal(HttpRequest)	real	contradicted	0.340	0.650	0.010	0.480	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.refusal(HttpRequest)	swapped	contradicted	0.290	0.440	0.270	0.170	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.scheduleIdleCheck(ChannelHandlerContext, long)	real	consistent	0.940	0.030	0.030	0.900	0.333
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.scheduleIdleCheck(ChannelHandlerContext, long)	swapped	not_checkable	0.410	0.080	0.510	0.270	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyServerBuilder.java#NettyServerBuilder.<init>(int, int, Duration)	real	consistent	0.820	0.160	0.020	0.720	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyServerBuilder.java#NettyServerBuilder.DEFAULT_IDLE_TIMEOUT	real	consistent	0.870	0.020	0.110	0.820	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyServerBuilder.java#NettyServerBuilder.DEFAULT_IDLE_TIMEOUT	swapped	not_checkable	0.000	0.010	0.990	0.980	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyServerBuilder.java#NettyServerBuilder.DEFAULT_IO_THREADS	real	not_checkable	0.420	0.020	0.560	0.340	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyServerBuilder.java#NettyServerBuilder.DEFAULT_IO_THREADS	swapped	not_checkable	0.010	0.060	0.930	0.900	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyServerBuilder.java#NettyServerBuilder.DEFAULT_MAX_CONTENT_LENGTH	real	consistent	0.750	0.050	0.200	0.640	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyServerBuilder.java#NettyServerBuilder.DEFAULT_MAX_CONTENT_LENGTH	swapped	not_checkable	0.000	0.010	0.990	0.980	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/ResponseUtil.java#ResponseUtil.closeAfter(FullHttpResponse)	real	consistent	0.710	0.120	0.170	0.570	0.750
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/ResponseUtil.java#ResponseUtil.closeAfter(FullHttpResponse)	swapped	not_checkable	0.010	0.230	0.760	0.650	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/ResponseUtil.java#ResponseUtil.emptyResponse(HttpResponseStatus)	real	consistent	0.860	0.050	0.090	0.800	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/ResponseUtil.java#ResponseUtil.emptyResponse(HttpResponseStatus)	swapped	contradicted	0.040	0.610	0.350	0.410	0.750
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/ResponseUtil.java#ResponseUtil.response(HttpResponse, String)	real	not_checkable	0.070	0.020	0.910	0.860	1.000
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/ResponseUtil.java#ResponseUtil.response(HttpResponse, String)	swapped	not_checkable	0.020	0.360	0.620	0.440	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/PaymentPayload.java#PaymentPayload.fromBase64Header(String)	real	consistent	0.970	0.020	0.010	0.960	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/PaymentPayload.java#PaymentPayload.fromBase64Header(String)	swapped	consistent	0.580	0.400	0.020	0.360	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/PaymentPayload.java#PaymentPayload.parse(JsonIterator)	real	consistent	0.890	0.070	0.040	0.830	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/PaymentPayload.java#PaymentPayload.parse(JsonIterator)	swapped	contradicted	0.040	0.800	0.160	0.700	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SettlementCache.java#SettlementCache.DEFAULT_RETENTION	real	consistent	0.570	0.080	0.350	0.370	1.000
