row_id	repo	path	member	kind	comment_chars	body_lines	swapped_from	mismatch_real	baseline_real	baseline_swapped	identifiers_missing	sample
glam-sdk-java#sdk/src/main/java/systems/glam/sdk/GlamAccountClientImpl.java#GlamAccountClientImpl.adaptPermissions(GlamAccounts, PublicKey, int, long)	glam-sdk-java	sdk/src/main/java/systems/glam/sdk/GlamAccountClientImpl.java	GlamAccountClientImpl.adaptPermissions(GlamAccounts, PublicKey, int, long)	method	198	16		1.000	1.000		ACL	random
glam-sdk-java#sdk/src/main/java/systems/glam/sdk/idl/programs/glam/jupiter/GlamJupiterProgramClient.java#GlamJupiterProgramClient.fixCPICallerRights(List<AccountMeta>)	glam-sdk-java	sdk/src/main/java/systems/glam/sdk/idl/programs/glam/jupiter/GlamJupiterProgramClient.java	GlamJupiterProgramClient.fixCPICallerRights(List<AccountMeta>)	method	168	13		1.000	1.000		CPI	
glam-sdk-java#sdk/src/main/java/systems/glam/sdk/lut/VaultTableBuilder.java#VaultTableBuilder.fetchAccountsNeeded(SolanaRpcClient)	glam-sdk-java	sdk/src/main/java/systems/glam/sdk/lut/VaultTableBuilder.java	VaultTableBuilder.fetchAccountsNeeded(SolanaRpcClient)	method	120	3		0.000	0.333			
glam-sdk-java#services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutor.java#BatchSqlExecutor.create(Class<T>, DataSource, String, int, StatementPreparer<T>, Duration, Backoff, LoopHeartbeat)	glam-sdk-java	services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutor.java	BatchSqlExecutor.create(Class<T>, DataSource, String, int, StatementPreparer<T>, Duration, Backoff, LoopHeartbeat)	method	472	15		0.333	1.000		IDLE_TICK_FLOOR_NANOS	
glam-sdk-java#services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutorImpl.java#BatchSqlExecutorImpl.IDLE_TICK_FLOOR_NANOS	glam-sdk-java	services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutorImpl.java	BatchSqlExecutorImpl.IDLE_TICK_FLOOR_NANOS	field	171	1		0.000	0.500			
glam-sdk-java#services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutorImpl.java#BatchSqlExecutorImpl.run()	glam-sdk-java	services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutorImpl.java	BatchSqlExecutorImpl.run()	method	789	96		0.000	1.000			stale-candidate
glam-sdk-java#services/src/main/java/systems/glam/services/io/FileUtils.java#FileUtils.MAX_ACCOUNT_DATA_LENGTH	glam-sdk-java	services/src/main/java/systems/glam/services/io/FileUtils.java	FileUtils.MAX_ACCOUNT_DATA_LENGTH	field	157	1		1.000	1.000		AccountDataFuzz	
glam-sdk-java#services/src/main/java/systems/glam/services/mints/StakePoolCache.java#StakePoolCache.initCache(ExecutorService, Path, StakePoolAccounts, MarinadeAccounts, Duration, RpcCaller, LoopHeartbeat)	glam-sdk-java	services/src/main/java/systems/glam/services/mints/StakePoolCache.java	StakePoolCache.initCache(ExecutorService, Path, StakePoolAccounts, MarinadeAccounts, Duration, RpcCaller, LoopHeartbeat)	method	225	77		0.000	0.500			random
glam-sdk-java#services/src/main/java/systems/glam/services/mints/StakePoolCacheImpl.java#StakePoolCacheImpl.run()	glam-sdk-java	services/src/main/java/systems/glam/services/mints/StakePoolCacheImpl.java	StakePoolCacheImpl.run()	method	336	18		0.000	1.000			
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcher.java#AccountFetcher.createFetcher(Duration, boolean, RpcCaller, Set<PublicKey>, LoopHeartbeat)	glam-sdk-java	services/src/main/java/systems/glam/services/rpc/AccountFetcher.java	AccountFetcher.createFetcher(Duration, boolean, RpcCaller, Set<PublicKey>, LoopHeartbeat)	method	473	7		0.500	0.500		IDLE_TICK_FLOOR_NANOS RPC	
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.IDLE_TICK_FLOOR_NANOS	glam-sdk-java	services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java	AccountFetcherImpl.IDLE_TICK_FLOOR_NANOS	field	217	1		0.000	0.500			random
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.clearBatch()	glam-sdk-java	services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java	AccountFetcherImpl.clearBatch()	method	148	3	AccountFetcherImpl.delay(Duration, long)	0.000	0.500	1.000		
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.currentBatchSize()	glam-sdk-java	services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java	AccountFetcherImpl.currentBatchSize()	method	151	3	AccountFetcherImpl.clearBatch()	0.000	1.000	0.667		
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.delay(Duration, long)	glam-sdk-java	services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java	AccountFetcherImpl.delay(Duration, long)	method	685	30	AccountFetcherImpl.failCurrentBatches(RuntimeException)	0.333	1.000	1.000	RPC	
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.dispatch(AccountConsumer, List<AccountInfo<byte[]>>, Map<PublicKey, AccountInfo<byte[]>>)	glam-sdk-java	services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java	AccountFetcherImpl.dispatch(AccountConsumer, List<AccountInfo<byte[]>>, Map<PublicKey, AccountInfo<byte[]>>)	method	239	9	AccountFetcherImpl.currentBatchSize()	0.000	1.000	1.000		random
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.failCurrentBatches(RuntimeException)	glam-sdk-java	services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java	AccountFetcherImpl.failCurrentBatches(RuntimeException)	method	490	26	AccountFetcherImpl.dispatch(AccountConsumer, List<AccountInfo<byte[]>>, Map<PublicKey, AccountInfo<byte[]>>)	0.000	0.333	0.667		stale-candidate
glam-sdk-java#services/src/main/java/systems/glam/services/state/GlobalConfigCache.java#GlobalConfigCache.initCache(Path, PublicKey, PublicKey, SolanaAccounts, MintCache, RpcCaller, AccountFetcher, Duration, LoopHeartbeat)	glam-sdk-java	services/src/main/java/systems/glam/services/state/GlobalConfigCache.java	GlobalConfigCache.initCache(Path, PublicKey, PublicKey, SolanaAccounts, MintCache, RpcCaller, AccountFetcher, Duration, LoopHeartbeat)	method	319	75		0.333	1.000		forceCacheRefresh	
glam-sdk-java#services/src/main/java/systems/glam/services/state/GlobalConfigCacheImpl.java#GlobalConfigCacheImpl.run()	glam-sdk-java	services/src/main/java/systems/glam/services/state/GlobalConfigCacheImpl.java	GlobalConfigCacheImpl.run()	method	414	27		1.000	1.000		fetchDelay accept	random
glam-sdk-java#services/src/main/java/systems/glam/services/state/MinGlamStateAccount.java#MinGlamStateAccount.checkCount(int, byte[], int)	glam-sdk-java	services/src/main/java/systems/glam/services/state/MinGlamStateAccount.java	MinGlamStateAccount.checkCount(int, byte[], int)	method	261	12		1.000	1.000		val NegativeArraySizeException	
http-servers#http-servers-core/src/main/java/software/sava/http_servers/core/handlers/HandlerUtil.java#HandlerUtil.parseRawParam(String, int, String)	http-servers	http-servers-core/src/main/java/software/sava/http_servers/core/handlers/HandlerUtil.java	HandlerUtil.parseRawParam(String, int, String)	method	108	7		0.000	0.500			random
http-servers#http-servers-jdk/src/main/java/software/sava/http_servers/jdk/JdkController.java#JdkController.answerWithoutBody(HttpExchange, int)	http-servers	http-servers-jdk/src/main/java/software/sava/http_servers/jdk/JdkController.java	JdkController.answerWithoutBody(HttpExchange, int)	method	1742	8		0.611	0.611		contentLen -1 Content-Length Transfer-Encoding flush drainAmount closeConnection WriteFinished isEOF ExchangeImpl JDK ServerImpl	
http-servers#http-servers-jetty/src/main/java/software/sava/http_servers/jetty/JettyServerBuilder.java#JettyServerBuilder.leasedThreads(QueuedThreadPool, ServerConnector)	http-servers	http-servers-jetty/src/main/java/software/sava/http_servers/jetty/JettyServerBuilder.java	JettyServerBuilder.leasedThreads(QueuedThreadPool, ServerConnector)	method	496	5	JettyServerBuilder.maxThreads(int, int)	0.667	0.667	0.500	ThreadPoolBudget maxThreads	
http-servers#http-servers-jetty/src/main/java/software/sava/http_servers/jetty/JettyServerBuilder.java#JettyServerBuilder.maxThreads(int, int)	http-servers	http-servers-jetty/src/main/java/software/sava/http_servers/jetty/JettyServerBuilder.java	JettyServerBuilder.maxThreads(int, int)	method	326	3	JettyServerBuilder.leasedThreads(QueuedThreadPool, ServerConnector)	0.000	0.000	1.000		random
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyController.java#NettyController.clientLeft(Throwable)	http-servers	http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyController.java	NettyController.clientLeft(Throwable)	method	1244	10	NettyController.invoke(ChannelHandlerContext, NettyRequest, NettyHandler)	0.909	0.909	1.000	FIN RST SocketException: Connection reset Connection reset by peer RuntimeException Error NioServerSocketChannel ERROR NIO NettyHttpServer	
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyController.java#NettyController.invoke(ChannelHandlerContext, NettyRequest, NettyHandler)	http-servers	http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyController.java	NettyController.invoke(ChannelHandlerContext, NettyRequest, NettyHandler)	method	87	11	NettyController.clientLeft(Throwable)	0.000	1.000	1.000		random
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequest.java#NettyRequest.malformed()	http-servers	http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequest.java	NettyRequest.malformed()	method	242	3		1.000	1.000		true Content-Length	
