batch_id	candidate	member	positive	member_changed	p_affected
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	0	Transaction.sign(Signer)	false	false	0.070
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	1	Transaction.sign(int, Signer)	false	false	0.060
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	2	Transaction.sign(Collection<Signer>)	false	false	0.070
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	3	Transaction.sign(SequencedCollection<Signer>)	false	false	0.070
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	4	Transaction.numAccounts()	false	false	0.080
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	5	Transaction.exceedsAccountLimit()	false	false	0.240
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	6	Transaction.exceedsInstructionLimit()	false	true	0.240
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	7	Transaction.exceedsSignatureLimit()	false	false	0.130
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	8	Transaction.setPriorityFeeLamports(long)	false	false	0.070
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	9	Transaction.setComputeUnitLimit(int)	false	false	0.070
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	10	Transaction.setPriorityFeeLamportsFromComputeUnitPrice(long)	false	false	0.080
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	11	Transaction.setPriorityFeeLamportsFromComputeUnitPrice(long, int)	false	false	0.080
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	12	Transaction.setAccountDataSizeLimit(int)	false	false	0.070
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java	13	Transaction.setHeapSize(int)	false	false	0.070
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	0	SolanaJsonRpcWebsocket.UNANSWERED_ESCALATION_FACTOR	false	false	0.110
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	1	SolanaJsonRpcWebsocket.CLOSE_GRACE_MILLIS	false	false	0.100
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	2	SolanaJsonRpcWebsocket.pacingOrigin	false	false	0.130
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	3	SolanaJsonRpcWebsocket.slotSub	false	false	0.140
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	4	SolanaJsonRpcWebsocket.connection	false	false	0.240
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	5	SolanaJsonRpcWebsocket.lastConnectAttempt	false	false	0.280
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	6	SolanaJsonRpcWebsocket.inFlightConnect	false	false	0.380
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	7	SolanaJsonRpcWebsocket.scheduledConnect	false	false	0.260
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	8	SolanaJsonRpcWebsocket.connectGeneration	false	false	0.160
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	9	SolanaJsonRpcWebsocket.checkSignalled	false	false	0.160
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	10	SolanaJsonRpcWebsocket.retainedRegistrations()	false	false	0.220
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	11	SolanaJsonRpcWebsocket.retainedCancellationTombstones()	false	false	0.260
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	12	SolanaJsonRpcWebsocket.readSubscriptionId(JsonIterator, int)	false	false	0.110
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	13	SolanaJsonRpcWebsocket.staleSingletonId(Connection, Subscription<?>, BigInteger)	false	false	0.110
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	14	SolanaJsonRpcWebsocket.skipToParams(JsonIterator, int)	false	false	0.410
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	15	SolanaJsonRpcWebsocket.connectionFor(WebSocket)	false	false	0.430
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	16	SolanaJsonRpcWebsocket.pacingMillis()	false	false	0.120
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	17	SolanaJsonRpcWebsocket.deferredBuild(long, AttemptListener)	false	true	0.360
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	18	SolanaJsonRpcWebsocket.connect()	false	false	0.310
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	19	SolanaJsonRpcWebsocket.checkCycle(long)	false	false	0.270
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	0	SolanaJsonRpcWebsocket.UNANSWERED_ESCALATION_FACTOR	false	false	0.090
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	1	SolanaJsonRpcWebsocket.CLOSE_GRACE_MILLIS	false	false	0.080
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	2	SolanaJsonRpcWebsocket.pacingOrigin	false	false	0.110
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	3	SolanaJsonRpcWebsocket.slotSub	false	false	0.100
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	4	SolanaJsonRpcWebsocket.lock	false	false	0.130
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	5	SolanaJsonRpcWebsocket.connection	false	false	0.180
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	6	SolanaJsonRpcWebsocket.lastConnectAttempt	false	false	0.150
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	7	SolanaJsonRpcWebsocket.inFlightConnect	false	false	0.120
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	8	SolanaJsonRpcWebsocket.inFlightBuild	false	false	0.120
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	9	SolanaJsonRpcWebsocket.scheduledConnect	false	false	0.140
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	10	SolanaJsonRpcWebsocket.connectGeneration	false	false	0.120
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	11	SolanaJsonRpcWebsocket.checkSignalled	false	false	0.120
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	12	SolanaJsonRpcWebsocket.retainedRegistrations()	false	false	0.110
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	13	SolanaJsonRpcWebsocket.retainedCancellationTombstones()	false	false	0.210
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	14	SolanaJsonRpcWebsocket.retainedOrdinalEntries()	false	false	0.340
