row_id	class	choice	score	p_contradicted	p_needs_addition	p_unaffected	p_not_checkable	confidence
glam-sdk-java#9278933#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.failCurrentBatches(RuntimeException)	BODY_ONLY	unaffected	0.510	0.070	0.440	0.490	0.000	0.320
glam-sdk-java#bb830ff#services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutorImpl.java#BatchSqlExecutorImpl.run()	BODY_ONLY	needs_addition	0.660	0.010	0.650	0.340	0.000	0.520
http-servers#430e6d0#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactSettler.java#SvmExactSettler.settle(PaymentPayload, PaymentRequirements)	BODY_ONLY	unaffected	0.320	0.030	0.290	0.670	0.010	0.570
http-servers#696ce3c#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactVerifier.java#SvmExactVerifier.verify(PaymentRequirements, byte[])	BODY_ONLY	unaffected	0.260	0.020	0.240	0.730	0.010	0.640
incident-client#00a96ee#incident-webhook/src/main/java/software/sava/incident/webhook/BaseWebhookIncidentClientFactory.java#BaseWebhookIncidentClientFactory.format(WebhookConfig)	BODY_ONLY	unaffected	0.200	0.050	0.150	0.630	0.170	0.510
incident-client#00a96ee#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookFormats.java#WebhookFormats.renderPlainText(IncidentAlert)	CO_EDIT	unaffected	0.030	0.000	0.030	0.880	0.090	0.830
incident-client#0c778ee#incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java#JsonUtil.escapeJson(String)	CO_EDIT	unaffected	0.200	0.070	0.130	0.720	0.080	0.640
incident-client#0c778ee#incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java#JsonUtil.escapeJsonRemoveNewLines(String)	CO_EDIT	unaffected	0.300	0.050	0.250	0.700	0.000	0.590
incident-client#61c84ba#incident-core/src/main/java/software/sava/incident/core/api/IncidentClients.java#IncidentClients.loadFactory(String)	BODY_ONLY	contradicted_by_change	0.700	0.560	0.140	0.110	0.190	0.410
json-iterator#2f07ba7#json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java#BaseJsonIterator.skipLiteral(String, String, String)	BODY_ONLY	needs_addition	0.730	0.120	0.610	0.270	0.000	0.470
