row_id	arm	choice	p_applies	p_does_not_apply	p_cannot	confidence	construct_absent	word_baseline
glam-sdk-java/sdk#sdk#GlamVaultAccounts.lambda$loadMappingConfigs$1#NakedReceiverMutator#SURVIVED#55	real	cannot_tell	0.040	0.130	0.830	0.730	0.380	false
glam-sdk-java/sdk#sdk#GlamVaultAccounts.lambda$loadMappingConfigs$1#NakedReceiverMutator#SURVIVED#55	swapped	cannot_tell	0.040	0.290	0.670	0.510	0.460	false
glam-sdk-java/sdk#sdk#StagingStateAccountClientImpl.protocolBitmask#RemoveConditionalMutator_EQUAL_IF#SURVIVED#88	real	cannot_tell	0.090	0.140	0.770	0.650	0.210	false
glam-sdk-java/sdk#sdk#StagingStateAccountClientImpl.protocolBitmask#RemoveConditionalMutator_EQUAL_IF#SURVIVED#88	swapped	cannot_tell	0.040	0.140	0.810	0.720	0.170	false
glam-sdk-java/sdk#sdk#StagingStateAccountClientImpl.protocolBitmask#RemoveConditionalMutator_EQUAL_IF#SURVIVED#88	real	cannot_tell	0.090	0.140	0.770	0.650	0.210	false
glam-sdk-java/sdk#sdk#StagingStateAccountClientImpl.protocolBitmask#RemoveConditionalMutator_EQUAL_IF#SURVIVED#88	swapped	cannot_tell	0.040	0.140	0.810	0.720	0.170	false
glam-sdk-java/sdk#sdk#StateAccountClientImpl.protocolBitmask#RemoveConditionalMutator_EQUAL_IF#SURVIVED#88	real	cannot_tell	0.090	0.140	0.770	0.650	0.170	false
glam-sdk-java/sdk#sdk#StateAccountClientImpl.protocolBitmask#RemoveConditionalMutator_EQUAL_IF#SURVIVED#88	swapped	cannot_tell	0.020	0.170	0.810	0.710	0.150	false
glam-sdk-java/sdk#sdk#VaultTableBuilder$Builder.create#RemoveConditionalMutator_EQUAL_IF#SURVIVED#152	real	cannot_tell	0.020	0.170	0.810	0.710	0.600	false
glam-sdk-java/sdk#sdk#VaultTableBuilder$Builder.create#RemoveConditionalMutator_EQUAL_IF#SURVIVED#152	swapped	cannot_tell	0.010	0.190	0.800	0.710	0.480	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addAccount#RemoveConditionalMutator_EQUAL_IF#SURVIVED#40	real	cannot_tell	0.040	0.160	0.800	0.710	0.410	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addAccount#RemoveConditionalMutator_EQUAL_IF#SURVIVED#40	swapped	cannot_tell	0.000	0.240	0.760	0.640	0.390	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addGlamVaultAccounts#RemoveConditionalMutator_EQUAL_IF#SURVIVED#184	real	cannot_tell	0.010	0.150	0.840	0.750	0.410	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addGlamVaultAccounts#RemoveConditionalMutator_EQUAL_IF#SURVIVED#184	swapped	cannot_tell	0.000	0.190	0.810	0.700	0.480	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addGlamVaultTokens#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#212	real	cannot_tell	0.060	0.110	0.830	0.750	0.430	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addGlamVaultTokens#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#212	swapped	cannot_tell	0.010	0.190	0.800	0.710	0.480	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addGlamVaultTokens#RemoveConditionalMutator_EQUAL_IF#SURVIVED#212	real	cannot_tell	0.020	0.100	0.880	0.810	0.420	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addGlamVaultTokens#RemoveConditionalMutator_EQUAL_IF#SURVIVED#212	swapped	cannot_tell	0.010	0.220	0.770	0.670	0.510	false
