row_id	label	notes	module	row	mutator_description	paragraph_head	member_head
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#ConditionalsBoundaryMutator#SURVIVED#259			glam-sdk-java/services	systems.glam.services.state.GlobalConfigCacheImpl,run,ConditionalsBoundaryMutator,SURVIVED # race-guard family # line 259	changed a conditional boundary: < became <= or <= became <, > became >= or >= became >	- `# race-guard family` — the `GlobalConfigCacheImpl` variant of the above (null-state rechecks between an unlock and the write lock).	// GlobalConfigCacheImpl lines 247-273   @Override   public void run() {     try {       for (long remainingNanos; ; ) {         accountFetcher.priorityQueue(globalConfigKey, this);         writeLock.lock();         try {           forceRefresh = false;           for (remainingNanos = fetchDelayNanos; ; ) {             remainingNanos = invalidGlobalConfig.awaitNanos(remainingNanos);             if …
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_ORDER_ELSE#SURVIVED#259			glam-sdk-java/services	systems.glam.services.state.GlobalConfigCacheImpl,run,RemoveConditionalMutator_ORDER_ELSE,SURVIVED # race-guard family # line 259	removed an ordering conditional (<, <=, >, >=) by replacing it with false, so the if-branch never runs	- `# race-guard family` — the `GlobalConfigCacheImpl` variant of the above (null-state rechecks between an unlock and the write lock).	// GlobalConfigCacheImpl lines 247-273   @Override   public void run() {     try {       for (long remainingNanos; ; ) {         accountFetcher.priorityQueue(globalConfigKey, this);         writeLock.lock();         try {           forceRefresh = false;           for (remainingNanos = fetchDelayNanos; ; ) {             remainingNanos = invalidGlobalConfig.awaitNanos(remainingNanos);             if …
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#ConditionalsBoundaryMutator#SURVIVED#69			glam-sdk-java/services	systems.glam.services.io.KeyedFlatFileImpl,deleteEntry,ConditionalsBoundaryMutator,SURVIVED # durability unobservable # line 69	changed a conditional boundary: < became <= or <= became <, > became >= or >= became >	- `# durability unobservable` — `force()`/`close()` durability calls no in-process assertion can see.	// KeyedFlatFileImpl lines 51-94   @Override   public int deleteEntry(final byte[] key, final E removed) {     lock.lock();     try {       long fileSize = fileChannel.size();       if (fileSize == 0) {         return 0;       }        final var mappedBuffer = fileChannel.map(FileChannel.MapMode.READ_WRITE, 0, fileSize);        int numRemoved = 0;       final byte[] keyBytes = new byte[key.length] …
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#PrimitiveReturnsMutator#SURVIVED#57			glam-sdk-java/services	systems.glam.services.io.KeyedFlatFileImpl,deleteEntry,PrimitiveReturnsMutator,SURVIVED # durability unobservable # line 57	replaced a primitive return value with 0	- `# durability unobservable` — `force()`/`close()` durability calls no in-process assertion can see.	// KeyedFlatFileImpl lines 51-94   @Override   public int deleteEntry(final byte[] key, final E removed) {     lock.lock();     try {       long fileSize = fileChannel.size();       if (fileSize == 0) {         return 0;       }        final var mappedBuffer = fileChannel.map(FileChannel.MapMode.READ_WRITE, 0, fileSize);        int numRemoved = 0;       final byte[] keyBytes = new byte[key.length] …
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#56			glam-sdk-java/services	systems.glam.services.io.KeyedFlatFileImpl,deleteEntry,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # durability unobservable # line 56	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- `# durability unobservable` — `force()`/`close()` durability calls no in-process assertion can see.	// KeyedFlatFileImpl lines 51-94   @Override   public int deleteEntry(final byte[] key, final E removed) {     lock.lock();     try {       long fileSize = fileChannel.size();       if (fileSize == 0) {         return 0;       }        final var mappedBuffer = fileChannel.map(FileChannel.MapMode.READ_WRITE, 0, fileSize);        int numRemoved = 0;       final byte[] keyBytes = new byte[key.length] …
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#RemoveConditionalMutator_ORDER_IF#SURVIVED#69			glam-sdk-java/services	systems.glam.services.io.KeyedFlatFileImpl,deleteEntry,RemoveConditionalMutator_ORDER_IF,SURVIVED # durability unobservable # line 69	removed an ordering conditional (<, <=, >, >=) by replacing it with true, so the if-branch always runs	- `# durability unobservable` — `force()`/`close()` durability calls no in-process assertion can see.	// KeyedFlatFileImpl lines 51-94   @Override   public int deleteEntry(final byte[] key, final E removed) {     lock.lock();     try {       long fileSize = fileChannel.size();       if (fileSize == 0) {         return 0;       }        final var mappedBuffer = fileChannel.map(FileChannel.MapMode.READ_WRITE, 0, fileSize);        int numRemoved = 0;       final byte[] keyBytes = new byte[key.length] …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#NullReturnValsMutator#NO_COVERAGE#184			glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,createService,NullReturnValsMutator,NO_COVERAGE # seamless bootstrap # line 184	replaced a return value with null	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#112			glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,createService,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE # seamless bootstrap # line 112	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#121			glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,createService,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE # seamless bootstrap # line 121	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_IF#NO_COVERAGE#112			glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,createService,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE # seamless bootstrap # line 112	removed an equality conditional (== or !=) by replacing it with true, so the if-branch always runs	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
