row_id	module	suite	class	method	mutator	status	label	line	member_status	declarations	bodies_shown	paragraph_chars	swapped_mutator	word_real	word_swapped	identifiers_missing
glam-sdk-java/sdk#sdk#GlamVaultAccounts.lambda$loadMappingConfigs$1#NakedReceiverMutator#SURVIVED#55	glam-sdk-java/sdk	sdk	systems.glam.sdk.GlamVaultAccounts	lambda$loadMappingConfigs$1	NakedReceiverMutator	SURVIVED	equivalent path-suffix	55	RESOLVED	1	1	322	MathMutator	false	false	
glam-sdk-java/sdk#sdk#StagingStateAccountClientImpl.protocolBitmask#RemoveConditionalMutator_EQUAL_IF#SURVIVED#88	glam-sdk-java/sdk	sdk	systems.glam.sdk.StagingStateAccountClientImpl	protocolBitmask	RemoveConditionalMutator_EQUAL_IF	SURVIVED	unreachable type-check arm	88	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#StagingStateAccountClientImpl.protocolBitmask#RemoveConditionalMutator_EQUAL_IF#SURVIVED#88	glam-sdk-java/sdk	sdk	systems.glam.sdk.StagingStateAccountClientImpl	protocolBitmask	RemoveConditionalMutator_EQUAL_IF	SURVIVED	unreachable type-check arm	88	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#StateAccountClientImpl.protocolBitmask#RemoveConditionalMutator_EQUAL_IF#SURVIVED#88	glam-sdk-java/sdk	sdk	systems.glam.sdk.StateAccountClientImpl	protocolBitmask	RemoveConditionalMutator_EQUAL_IF	SURVIVED	unreachable type-check arm	88	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilder$Builder.create#RemoveConditionalMutator_EQUAL_IF#SURVIVED#152	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilder$Builder	create	RemoveConditionalMutator_EQUAL_IF	SURVIVED	residual sibling legs	152	RESOLVED	2	2	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addAccount#RemoveConditionalMutator_EQUAL_IF#SURVIVED#40	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	addAccount	RemoveConditionalMutator_EQUAL_IF	SURVIVED	residual sibling legs	40	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addGlamVaultAccounts#RemoveConditionalMutator_EQUAL_IF#SURVIVED#184	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	addGlamVaultAccounts	RemoveConditionalMutator_EQUAL_IF	SURVIVED	residual sibling legs	184	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addGlamVaultTokens#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#212	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	addGlamVaultTokens	RemoveConditionalMutator_EQUAL_ELSE	SURVIVED	residual sibling legs	212	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addGlamVaultTokens#RemoveConditionalMutator_EQUAL_IF#SURVIVED#212	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	addGlamVaultTokens	RemoveConditionalMutator_EQUAL_IF	SURVIVED	residual sibling legs	212	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addGlamVaultTokens#RemoveConditionalMutator_EQUAL_IF#SURVIVED#217	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	addGlamVaultTokens	RemoveConditionalMutator_EQUAL_IF	SURVIVED	residual sibling legs	217	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.batchTableTasks#MathMutator#SURVIVED#117	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	batchTableTasks	MathMutator	SURVIVED	residual sibling legs	117	RESOLVED	1	1	322	RemoveConditionalMutator_EQUAL_ELSE	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.batchTableTasks#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#109	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	batchTableTasks	RemoveConditionalMutator_EQUAL_ELSE	SURVIVED	residual sibling legs	109	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.lambda$addKaminoVaultAccountsSecondPhase$0#RemoveConditionalMutator_EQUAL_IF#SURVIVED#389	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	lambda$addKaminoVaultAccountsSecondPhase$0	RemoveConditionalMutator_EQUAL_IF	SURVIVED	residual sibling legs	389	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.lambda$addKaminoVaultAccountsSecondPhase$0#RemoveConditionalMutator_EQUAL_IF#SURVIVED#391	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	lambda$addKaminoVaultAccountsSecondPhase$0	RemoveConditionalMutator_EQUAL_IF	SURVIVED	residual sibling legs	391	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.lambda$addKaminoVaultAccountsSecondPhase$0#RemoveConditionalMutator_EQUAL_IF#SURVIVED#391	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	lambda$addKaminoVaultAccountsSecondPhase$0	RemoveConditionalMutator_EQUAL_IF	SURVIVED	residual sibling legs	391	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.lambda$mapTable$0#RemoveConditionalMutator_EQUAL_IF#SURVIVED#58	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	lambda$mapTable$0	RemoveConditionalMutator_EQUAL_IF	SURVIVED	residual sibling legs	58	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.mapTable#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#54	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	mapTable	RemoveConditionalMutator_EQUAL_ELSE	SURVIVED	residual sibling legs	54	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.mapTable#RemoveConditionalMutator_EQUAL_IF#SURVIVED#54	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	mapTable	RemoveConditionalMutator_EQUAL_IF	SURVIVED	residual sibling legs	54	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/services#services#AccountFetcherImpl.createBatch#IncrementsMutator#SURVIVED#340	glam-sdk-java/services	services	systems.glam.services.rpc.AccountFetcherImpl	createBatch	IncrementsMutator	SURVIVED	accepted equivalent	340	RESOLVED	1	1	186	RemoveConditionalMutator_EQUAL_ELSE	false	false	BatchSqlExecutorImpl fill
glam-sdk-java/services#services#AccountFetcherImpl.createBatch#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#343	glam-sdk-java/services	services	systems.glam.services.rpc.AccountFetcherImpl	createBatch	RemoveConditionalMutator_EQUAL_ELSE	SURVIVED	accepted equivalent	343	RESOLVED	1	1	186	NullReturnValsMutator	false	false	BatchSqlExecutorImpl fill
