row_id	choice	p_absent	p_present	p_cannot	confidence	contradicted	depends_on_unseen	control_flags	gold_hint
sava/sava-core#114#AccountMetaReadOnlySigner.merge	construct_present	0.010	0.990	0.000	0.990	0.160	0.650		present
sava/sava-core#114#AccountMetaWrite.merge	construct_present	0.010	0.990	0.000	0.990	0.170	0.710		present
sava/sava-core#231#Transaction.exceedsSizeLimit	construct_absent	0.750	0.220	0.030	0.630	0.060	0.970	identifier_missing:TransactionRecord identifier_missing:exceedsSizeLimitBoundary	present
sava/sava-core#235#TransactionRecord.setBlockHash	construct_absent	0.980	0.000	0.020	0.970	0.620	0.940	member_missing	
sava/sava-core#241#Transaction.createTx	cannot_resolve	0.270	0.070	0.660	0.490	0.060	0.910		
sava/sava-core#244#Transaction.createTx	cannot_resolve	0.440	0.040	0.520	0.270	0.060	0.950		
sava/sava-core#246#InstructionRecord.extraAccounts	construct_present	0.020	0.930	0.050	0.890	0.060	0.770		
sava/sava-core#248#TransactionRecord.sign	construct_absent	0.980	0.000	0.020	0.980	0.590	0.960	member_missing	absent
sava/sava-core#260#Transaction.createTx	construct_absent	0.880	0.000	0.120	0.820	0.050	0.970	identifier_missing:addAccountIfExists	
sava/sava-core#266#InstructionRecord.equals	construct_present	0.020	0.980	0.000	0.970	0.060	0.290		
sava/sava-core#269#InstructionRecord.toString	construct_present	0.010	0.990	0.000	0.980	0.050	0.520		
sava/sava-core#273#TransactionRecord.lambda$static$0	construct_absent	0.890	0.000	0.110	0.840	0.050	0.940		absent
sava/sava-core#275#TransactionRecord.sign	construct_absent	0.990	0.000	0.010	0.990	0.210	0.950	member_missing	absent
sava/sava-core#277#AccountIndexLookupTableView.compareTo	construct_present	0.180	0.810	0.010	0.700	0.080	0.900	identifier_missing:viewCompareToReadsTheOtherViewsBackingTable	
sava/sava-core#286#TransactionSkeleton.deserializeSkeleton	construct_absent	0.510	0.330	0.160	0.270	0.090	0.930	identifier_missing:TransactionSkeletonRecord	present
sava/sava-core#328#Jex.isValid	construct_present	0.030	0.960	0.010	0.940	0.050	0.160		present
sava/sava-core#331#Base58.limbsLength	construct_present	0.220	0.600	0.180	0.400	0.090	0.890		present
sava/sava-core#337#AddressLookupTableOverlay.lambda$keysToString$1	construct_present	0.060	0.930	0.010	0.900	0.050	0.670		
sava/sava-core#343#SubsequenceRecord.formatCharOptions	construct_absent	0.620	0.350	0.030	0.430	0.060	0.920		
sava/sava-core#40#Base58.decode	construct_present	0.050	0.860	0.090	0.780	0.060	0.860		
sava/sava-core#43#Base58.limbsLength	construct_present	0.370	0.570	0.060	0.360	0.070	0.870	identifier_missing:TestAllocation	present
sava/sava-core#51#Base58.toLimbs	construct_present	0.040	0.950	0.010	0.920	0.050	0.730		
sava/sava-core#54#Jex.decodePrimIterChecked	construct_present	0.010	0.990	0.000	0.970	0.060	0.230		
sava/sava-core#57#TokenMetadata.read	construct_present	0.010	0.990	0.000	0.980	0.170	0.660		
sava/sava-core#67#Token2022.parseExtensions	construct_present	0.000	1.000	0.000	0.990	0.110	0.780		present
sava/sava-core#70#Codec.decode32	construct_present	0.130	0.840	0.030	0.760	0.050	0.920		
sava/sava-core#70#Ed25519Util.pack25519	construct_present	0.080	0.850	0.070	0.790	0.050	0.930		present
sava/sava-rpc#258#RpcCustomError.parseError	construct_present	0.240	0.730	0.030	0.590	0.070	0.940	identifier_missing:ParseCustomErrorCodeTests	
sava/sava-rpc#267#Lamports.amount	construct_present	0.030	0.950	0.020	0.930	0.060	0.960		present
sava/sava-rpc#275#JsonUtil.parseEncodedData	construct_absent	0.730	0.010	0.260	0.590	0.060	0.960		
sava/sava-rpc#281#JsonUtil.parseEncodedData	construct_absent	0.970	0.000	0.030	0.950	0.060	0.970	identifier_missing:reset identifier_missing:skipRestOfArray identifier_missing:mark2 identifier_missing:skippedValuesLeaveTheIteratorAligned	
sava/sava-rpc#290#JsonUtil.parseEncodedData	construct_absent	0.860	0.010	0.130	0.780	0.080	0.920		
sava/sava-rpc#292#JsonUtil.toJsonIntArray	construct_present	0.010	0.990	0.000	0.990	0.060	0.670		
sava/sava-rpc#317#SolanaJsonRpcWebsocket.run	construct_absent	0.640	0.060	0.300	0.450	0.130	0.920		
http-servers/http-servers-jdk#33#JdkQueryHandler.handle	construct_absent	0.840	0.110	0.050	0.770	0.180	0.860		
http-servers/http-servers-jdk#37#JdkController.serverError	construct_absent	0.990	0.010	0.000	0.980	0.330	0.930	member_missing	absent
http-servers/http-servers-jdk#37#JdkQueryHandler.lambda$handle$0	construct_absent	0.900	0.050	0.050	0.850	0.320	0.940		absent
http-servers/http-servers-jdk#41#JdkController.handle	construct_present	0.200	0.780	0.020	0.670	0.230	0.670		
http-servers/http-servers-jdk#45#JdkHttpServer.start	construct_present	0.080	0.910	0.010	0.860	0.050	0.940		
incident-client/incident-io#32#CreateIncidentRequestRecord.body	construct_absent	0.890	0.090	0.020	0.830	0.070	0.950	identifier_missing:bearerToken	
incident-client/incident-io#32#IncidentIoConfig.createClientBuilder	construct_present	0.350	0.640	0.010	0.450	0.070	0.920		
incident-client/incident-io#48#IncidentIoRequestException$Parser.create	construct_present	0.010	0.990	0.000	0.990	0.050	0.490		
incident-client/incident-io#54#IncidentIoConfig$Parser.test	construct_present	0.070	0.900	0.030	0.860	0.060	0.950		
ravina/ravina-solana#42#LookupTableCacheMap.getOrFetchTables	construct_absent	0.710	0.260	0.030	0.560	0.090	0.870		absent
ravina/ravina-solana#54#LookupTableCacheMap.refreshStaleAccounts	construct_present	0.030	0.960	0.010	0.950	0.060	0.480		present
ravina/ravina-solana#59#TxCommitmentMonitorService.validateResponseAndAwaitCommitmentViaWebSocket	construct_present	0.020	0.970	0.010	0.960	0.050	0.910		
ravina/ravina-solana#62#TxCommitmentMonitorService.lambda$tryAwaitCommitmentViaWebSocket$1	construct_present	0.080	0.910	0.010	0.870	0.050	0.580		
ravina/ravina-solana#66#BaseTxMonitorService.run	construct_present	0.110	0.800	0.090	0.700	0.070	0.890		
