row_id	module	rung	section	member	status	detail	control_flags	file	note_chars	source_chars
sava/sava-core#114#AccountMetaReadOnlySigner.merge	sava/sava-core	3	Triaged equivalent mutants — meta suite	AccountMetaReadOnlySigner.merge	RESOLVED	1 declaration(s)		sava-core/src/main/java/software/sava/core/accounts/meta/AccountMetaReadOnlySigner.java	443	315
sava/sava-core#114#AccountMetaWrite.merge	sava/sava-core	3	Triaged equivalent mutants — meta suite	AccountMetaWrite.merge	RESOLVED	1 declaration(s)		sava-core/src/main/java/software/sava/core/accounts/meta/AccountMetaWrite.java	443	776
sava/sava-core#231#Transaction.exceedsSizeLimit	sava/sava-core	3	Triaged equivalent mutants — tx suite	Transaction.exceedsSizeLimit	RESOLVED	1 declaration(s)	identifier_missing:TransactionRecord identifier_missing:exceedsSizeLimitBoundary	sava-core/src/main/java/software/sava/core/tx/Transaction.java	357	135
sava/sava-core#235#TransactionRecord.setBlockHash	sava/sava-core	3	Triaged equivalent mutants — tx suite	TransactionRecord.setBlockHash	MOVED_MEMBER	now declared by [BaseTransaction, Transaction]	member_missing	sava-core/src/main/java/software/sava/core/tx/TransactionRecord.java	360	3835
sava/sava-core#241#Transaction.createTx	sava/sava-core	3	Triaged equivalent mutants — tx suite	Transaction.createTx	RESOLVED	22 declaration(s)		sava-core/src/main/java/software/sava/core/tx/Transaction.java	219	3610
sava/sava-core#244#Transaction.createTx	sava/sava-core	3	Triaged equivalent mutants — tx suite	Transaction.createTx	RESOLVED	22 declaration(s)		sava-core/src/main/java/software/sava/core/tx/Transaction.java	210	3610
sava/sava-core#246#InstructionRecord.extraAccounts	sava/sava-core	3	Triaged equivalent mutants — tx suite	InstructionRecord.extraAccounts	RESOLVED	2 declaration(s)		sava-core/src/main/java/software/sava/core/tx/InstructionRecord.java	212	1299
sava/sava-core#248#TransactionRecord.sign	sava/sava-core	3	Triaged equivalent mutants — tx suite	TransactionRecord.sign	MOVED_MEMBER	now declared by [BaseTransaction, KeyPairSigner, Signer, Transaction]	member_missing	sava-core/src/main/java/software/sava/core/tx/TransactionRecord.java	186	3850
sava/sava-core#260#Transaction.createTx	sava/sava-core	3	Triaged equivalent mutants — tx suite	Transaction.createTx	RESOLVED	22 declaration(s)	identifier_missing:addAccountIfExists	sava-core/src/main/java/software/sava/core/tx/Transaction.java	437	3610
sava/sava-core#266#InstructionRecord.equals	sava/sava-core	3	Triaged equivalent mutants — tx suite	InstructionRecord.equals	RESOLVED	1 declaration(s)		sava-core/src/main/java/software/sava/core/tx/InstructionRecord.java	226	385
sava/sava-core#269#InstructionRecord.toString	sava/sava-core	3	Triaged equivalent mutants — tx suite	InstructionRecord.toString	RESOLVED	1 declaration(s)		sava-core/src/main/java/software/sava/core/tx/InstructionRecord.java	184	758
sava/sava-core#273#TransactionRecord.lambda$static$0	sava/sava-core	3	Triaged equivalent mutants — tx suite	TransactionRecord.lambda$static$0	RESOLVED	10 declaration(s)		sava-core/src/main/java/software/sava/core/tx/TransactionRecord.java	184	899
sava/sava-core#275#TransactionRecord.sign	sava/sava-core	3	Triaged equivalent mutants — tx suite	TransactionRecord.sign	MOVED_MEMBER	now declared by [BaseTransaction, KeyPairSigner, Signer, Transaction]	member_missing	sava-core/src/main/java/software/sava/core/tx/TransactionRecord.java	193	3850
sava/sava-core#277#AccountIndexLookupTableView.compareTo	sava/sava-core	3	Triaged equivalent mutants — tx suite	AccountIndexLookupTableView.compareTo	RESOLVED	1 declaration(s)	identifier_missing:viewCompareToReadsTheOtherViewsBackingTable	sava-core/src/main/java/software/sava/core/accounts/lookup/AccountIndexLookupTableView.java	493	437
